book_id,title,authors,isbn,tags,total_copies,available_copies
B1026,Data Enginnering,P|||a|||u|||l|||C|||r|||i|||c|||k|||a|||r|||d,9781789535365,d|||a|||t|||a|||-|||e|||n|||g|||i|||n|||e|||e|||r|||i|||n|||g|||p|||y|||t|||h|||o|||n,7,3
B1027,Kafka: The Definitive Guide,G|||w|||e|||n|||S|||h|||a|||p|||i|||r|||a,9781491936160,d|||a|||t|||a|||-|||s|||t|||r|||e|||a|||m|||i|||n|||g|||k|||a|||f|||k|||a,4,4
B1028,Spark: The Definitive Guide,B|||i|||l|||l|||C|||h|||a|||m|||b|||e|||r|||s,9781491912218,b|||i|||g|||-|||d|||a|||t|||a|||s|||p|||a|||r|||k,3,2
B1030,Learning Docker,P|||e|||t|||h|||u|||r|||u|||R|||a|||j,9781784397937,d|||e|||v|||o|||p|||s|||d|||o|||c|||k|||e|||r|||c|||o|||n|||t|||a|||i|||n|||e|||r|||s,4,4
B1031,Kubernetes in Action,M|||a|||r|||k|||o|||L|||u|||k|||s|||a,9781617293726,d|||e|||v|||o|||p|||s|||k|||u|||b|||e|||r|||n|||e|||t|||e|||s|||o|||r|||c|||h|||e|||s|||t|||r|||a|||t|||i|||o|||n,3,3
B1032,Terraform Up & Running,Y|||e|||v|||g|||e|||n|||i|||y|||B|||r|||i|||k|||m|||a|||n,9781492046903,d|||e|||v|||o|||p|||s|||i|||n|||f|||r|||a|||s|||t|||r|||u|||c|||t|||u|||r|||e,2,2
B1033,CI/CD with Jenkins,C|||h|||r|||i|||s|||t|||o|||p|||h|||e|||r|||G|||r|||a|||n|||t,9781787287600,d|||e|||v|||o|||p|||s|||c|||i|||c|||d|||a|||u|||t|||o|||m|||a|||t|||i|||o|||n,3,3
B1034,Cloud Architect,B|||i|||l|||l|||W|||i|||l|||d|||e|||r,9781449319779,c|||l|||o|||u|||d|||a|||r|||c|||h|||i|||t|||e|||c|||t|||u|||r|||e|||p|||a|||t|||t|||e|||r|||n|||s,3,1
B1035,Azure for Architects,J|||o|||h|||n|||S|||a|||v|||i|||l|||l,9781119559535,c|||l|||o|||u|||d|||a|||z|||u|||r|||e|||a|||r|||c|||h|||i|||t|||e|||c|||t|||u|||r|||e,3,2
B1036,AWS Certified Solutions Architect,B|||e|||n|||P|||i|||p|||e|||r,9781119504214,c|||l|||o|||u|||d|||a|||w|||s|||c|||e|||r|||t|||i|||f|||i|||c|||a|||t|||i|||o|||n,4,4
B1037,GCP Architecture Framework,G|||o|||o|||g|||l|||e|||P|||r|||e|||s|||s,9781098112934,c|||l|||o|||u|||d|||g|||c|||p|||a|||r|||c|||h|||i|||t|||e|||c|||t|||u|||r|||e,3,3
B1038,Data Visualization with Python,K|||i|||r|||i|||l|||l|||E|||r|||e|||m|||e|||n|||k|||o,9781788295758,d|||a|||t|||a|||v|||i|||s|||u|||a|||l|||i|||z|||a|||t|||i|||o|||n|||p|||y|||t|||h|||o|||n,4,3
B1039,SQL for Data Analysis,B|||o|||r|||i|||s|||P|||a|||s|||k|||h|||a|||v|||e|||r,9781492072261,d|||a|||t|||a|||s|||q|||l|||a|||n|||a|||l|||y|||t|||i|||c|||s,4,4
B1040,Introduction to Statistics,R|||o|||n|||L|||a|||r|||s|||o|||n,9780321912749,m|||a|||t|||h|||s|||t|||a|||t|||i|||s|||t|||i|||c|||s|||p|||r|||o|||b|||a|||b|||i|||l|||i|||t|||y,5,5
B191,uiui,u|||i|||i,900,,8,8
B787,System design,a|||r|||u|||n|||s|||h|||a|||l|||i|||n,90909,,8,8
